type,name,phone,email,amount,paid_amount,due_days,invoice_number,bill_number,credit_days,credit_limit,contact_person,category,criticality,payment_terms,recurring
purchase,FastTrack Transport,9811000010,accounts@fasttrack.example,57000,7000,15,,DEMO-BILL-010,,,,Ishita Sen,Transport,MEDIUM,NET_15,
expense,Warehouse rent,,,45000,0,0,,,,,,,,,true
expense,Staff salaries,,,125000,0,0,,,,,,,,,true
expense,Delivery fuel,,,18500,0,0,,,,,,,,,false
expense,Electricity bill,,,12750,0,0,,,,,,,,,true
expense,Packaging supplies,,,9200,0,0,,,,,,,,,false
expense,Cloud software,,,6800,0,0,,,,,,,,,true
expense,Vehicle maintenance,,,24500,0,0,,,,,,,,,false
expense,Internet and phone,,,4300,0,0,,,,,,,,,true
expense,Office stationery,,,3150,0,0,,,,,,,,,false
expense,Marketing campaign,,,27500,0,0,,,,,,,,,false
